[INFO] [1777006593.963636056] [perception_node]: Perception node started
[INFO] [1777006600.128768164] [perception_node]: left=0.24, front=0.22, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006600.146101310] [perception_node]: left=0.25, front=0.22, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006600.156377198] [perception_node]: left=0.23, front=0.40, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006600.228655953] [perception_node]: left=0.21, front=0.21, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006600.246062118] [perception_node]: left=0.28, front=0.25, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006600.256744058] [perception_node]: left=0.29, front=0.31, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006600.328780314] [perception_node]: left=0.21, front=0.54, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006600.346048723] [perception_node]: left=0.25, front=0.20, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006600.356716073] [perception_node]: left=0.32, front=0.37, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006600.433169874] [perception_node]: left=0.30, front=0.28, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006600.451379292] [perception_node]: left=0.24, front=0.21, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006600.459150040] [perception_node]: left=0.27, front=0.37, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006600.528708152] [perception_node]: left=0.31, front=0.28, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006600.545904560] [perception_node]: left=0.24, front=0.22, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006600.556470256] [perception_node]: left=0.32, front=0.37, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006600.628561946] [perception_node]: left=0.39, front=0.25, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006600.646004017] [perception_node]: left=0.26, front=0.30, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006600.656109547] [perception_node]: left=0.22, front=0.31, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006600.728744170] [perception_node]: left=0.32, front=0.34, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006600.746195495] [perception_node]: left=0.23, front=0.23, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006600.756019233] [perception_node]: left=0.33, front=0.46, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006600.829770798] [perception_node]: left=0.23, front=0.36, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006600.846691666] [perception_node]: left=0.22, front=0.24, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006600.856703735] [perception_node]: left=0.25, front=0.22, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
[INFO] [1777006600.929835781] [perception_node]: left=0.22, front=0.32, right=inf, camera_red=True, red_ratio=0.083 -> front_blocked_turn_right_camera_object_detected
